x1,y1,x2,y2,length,angle,target_x1,target_y1,target_x2,target_y2
35,168,90,109,80.65977932030313,221.388114990777,200,300,300,250
37,169,95,113,80.62257748298549,221.47253194962587,200,300,300,250
